longitude,latitude,total_rooms,total_bedrooms,population,households,median_house_value
-122.27,37.89,3046,373,975,365,430500
-118.32,34,3250,693,2300,675,112600
-117.18,32.83,2346,399,1105,373,182800
-121.65,39.16,5022,1103,2087,956,114800
-117.06,33.04,1785,255,667,277,278000
-118.94,35.39,3074,452,1223,452,139100
-121.78,40.12,388,108,35,17,106300
-119.08,35.39,6435,1040,3242,1030,132200
-118.1,33.81,856,146,451,164,246000
-121.49,38.57,1492,385,736,365,108800
-117.9,34.14,2259,505,1561,509,155500
-117.12,32.7,818,217,953,231,65700
-118.35,33.98,3081,680,1785,609,170800
-122.01,37.55,2068,532,1434,495,224200
-121.82,38.01,1120,281,625,239,96400
-117.12,32.66,16,4,8,3,60000
-117.22,32.81,730,196,335,203,362500
-120.92,37.65,505,124,163,129,275000
-116.25,33.81,880,187,507,169,67500
-122.53,37.9,2846,551,1232,537,327200
-118.52,34.21,1328,287,823,273,193700
-122.26,37.83,1125,322,616,304,142500
-122.3,38.3,3690,809,1922,736,139800
-118.08,33.95,1743,348,1328,354,162800
-117.05,34.04,3967,766,1518,698,111800
-118.36,33.9,1355,349,655,329,205000
-118.36,33.84,1577,279,743,274,343000
-118.19,33.78,1511,593,914,539,187500
-122.39,37.76,2316,468,1047,476,321600
-118.29,33.88,2307,493,1754,528,232800
-118.11,34.07,1130,229,698,209,244400
-119.55,36.51,55,11,26,5,67500
-121.98,37.36,1199,229,814,238,252100
-118.25,34.01,1575,475,1980,469,100500
-121.35,38.61,4916,1243,2140,1136,134100
-117.78,33.71,974,232,428,203,195400
-119.19,34.17,1872,434,1511,405,186800
-118.11,33.89,1139,197,772,233,204700
-121.06,38.98,2267,355,1140,369,212800
-122.32,37.94,1911,283,697,275,267700
-117.67,33.51,1258,246,545,227,184400
-121.4,38.57,2022,295,639,278,297600
-121.44,36.51,1636,380,1468,339,114700
-118.31,34.02,2217,489,1227,448,108800
-122.31,37.92,1014,236,537,204,183300
-117.25,32.75,1189,377,645,377,216700
-117.96,33.89,1332,252,625,230,334100
-115.99,33.4,1945,536,515,273,54300
-119.14,34.15,2202,390,1415,412,207700
-119.03,35.37,1503,367,554,277,126600
-122.74,38.45,2696,496,1296,514,179200
-122.21,38.06,2735,559,1076,487,155700
-121.43,38.63,1009,225,604,218,67000
-118.29,33.99,979,235,857,236,108900
-122.28,37.78,5154,,3741,1273,173400
-118.07,33.9,1776,353,1180,337,169200
-117.57,33.88,1755,446,1453,428,119400
-117.11,33.78,1914,339,930,304,161200
-122.03,38.01,3228,562,1666,588,175900
-122.44,37.73,1912,,970,406,275500
-117.54,34.12,17577,2819,7766,2473,181800
-121.27,38.72,4664,644,2105,663,198700
-118.06,33.89,2483,412,1538,449,220500
-120.36,36.14,1206,274,622,217,62000
-116.89,32.82,2515,443,1442,449,154400
-122.3,37.88,1647,376,854,355,144800
-117.38,33.21,1502,367,1514,342,103300
-118.02,34.17,3868,548,1558,528,500001
-117.32,33.51,966,133,311,92,500001
-117.21,33.82,4198,805,1943,673,122100
-121.96,37.84,7479,977,2744,943,398200
-118.4,34.04,1298,174,420,190,500001
-117.12,32.73,2307,424,887,356,168800
-121.87,37.4,1767,268,1061,280,351600
-117.89,34.09,1055,280,538,206,181300
-120.65,35.12,2949,662,1425,548,178100
-118.2,33.77,1158,396,1209,336,129200
-121.84,37.32,5762,1538,3979,1389,192600
-118.3,33.75,1957,517,1454,526,203100
